curve_id,kept_index,doi,doi_dir,top_dir,figure_folder,figure_label,series_id,legend_hint,csv_path,abs_max_pce,delta_pce_rel_pct,max_pce_bin,max_pce_bin_absolute,max_pce_source
0,0,10.1002/adfm.201705545,10.1002_adfm.201705545,x_time_day,Fig11_B_stability_performance_curve,Fig11_B,Series_1,PSC-0.1,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,0.9901769280905162,2.117431163787842,Q1,n/a,pre-normalised
1,1,10.1002/adfm.201705545,10.1002_adfm.201705545,x_time_day,Fig11_B_stability_performance_curve,Fig11_B,Series_2,PSC-0,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,0.9927573608929325,9.365635871887207,Q1,n/a,pre-normalised
2,2,10.1002/adfm.201705545,10.1002_adfm.201705545,x_time_day,Fig11_B_stability_performance_curve,Fig11_B,Series_3,PSC-0.25,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,1.000498659300182,0.0,Q2,n/a,pre-normalised
3,3,10.1002/adfm.201705545,10.1002_adfm.201705545,x_time_day,Fig11_B_stability_performance_curve,Fig11_B,Series_4,PSC-0.5,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,1.000498659300182,0.276106595993042,Q2,n/a,pre-normalised
5,5,10.1002/adfm.201804128,10.1002_adfm.201804128,x_time_day,Fig8_C_stability_performance_curve_decay,Fig8_C,Series_1,V_oc,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,1.0021300391283965,14.922582626342773,Q3,n/a,pre-normalised
7,7,10.1002/adfm.201804128,10.1002_adfm.201804128,x_time_day,Fig8_C_stability_performance_curve_decay,Fig8_C,Series_3,FF,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,1.0021300391283965,0.6434798240661621,Q3,n/a,pre-normalised
8,8,10.1002/adfm.201804128,10.1002_adfm.201804128,x_time_day,Fig8_C_stability_performance_curve_decay,Fig8_C,Series_4,J_sc,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,1.003760520680359,4.711472988128662,Q3,n/a,pre-normalised
9,9,10.1002/adfm.201807024,10.1002_adfm.201807024,x_time_day,Fig6_D_pce,Fig6_D,Series_1,0_MASCN,x_time_day/10.1002_adfm.201807024/Fig6_D_pce/accepted/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.csv,0.9967099413295936,13.147270202636719,Q2,n/a,pre-normalised
10,10,10.1002/adfm.201807556,10.1002_adfm.201807556,x_time_day,Fig6_A_stability_performance_curve_ff,Fig6_A,Series_1,PTAA-controlled,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.csv,14.786920046362956,3.488379716873169,Q5,Q2,absolute
11,11,10.1002/adfm.201807556,10.1002_adfm.201807556,x_time_day,Fig6_A_stability_performance_curve_ff,Fig6_A,Series_2,PEDOT_PSS-controlled,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,13.656828618271103,10.23429012298584,Q5,Q2,absolute
