array_row,curve_id,peak_time_h,peak_value,pce_0h,pce_200h,initial_gain,post_peak_drop,post_peak_nonincrease_fraction_5h,rise_then_fall_broad,rise_then_fall_medium,rise_then_fall_core,rise_then_fall_strong
21,x_time_day/10.1002_adfm.202101568/Fig6_F_stability_performance_curve_pce/accepted/10.1002_adfm.202101568__Fig6__F__stability_performance_curve_pce__Without_HOCP__Series_2.csv,0.8333333333333333,0.9999850163531435,0.9999731297091905,0.9336171147453072,1.1886643953018527e-05,0.06636790160783634,1.0,False,False,False,False
22,x_time_day/10.1002_adfm.202106560/Fig4_A_stability_performance_curve_pce/accepted/10.1002_adfm.202106560__Fig4__A__stability_performance_curve_pce__FASnl-based_perovskite_with_HTL__Series_1.csv,55.5,0.9999861259352788,0.9841403817918023,0.9350288054559057,0.015845744143476503,0.06495732047937308,1.0,True,False,False,False
23,x_time_day/10.1002_adfm.202204450/Fig1_F_stability/accepted/10.1002_adfm.202204450__Fig1__F__stability__Control__Series_1.csv,0.0,0.9999999999999998,0.9999999999999998,0.8343330199487758,0.0,0.16566698005122393,1.0,False,False,False,False
24,x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/accepted/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__Control__Series_1.csv,0.0,0.9999945132665813,0.9999945132665813,0.874680061169405,0.0,0.1253144520971763,1.0,False,False,False,False
25,x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/accepted/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__PCBM__Series_2.csv,0.0,0.9999897621358742,0.9999897621358742,0.9052107524389139,0.0,0.09477900969696029,1.0,False,False,False,False
26,x_time_day/10.1002_adma.201700607/Fig2_F_stability_performance_curve_pce/accepted/10.1002_adma.201700607__Fig2__F__stability_performance_curve_pce__ICBA-mixture__Series_1.csv,42.33333333333333,0.999999331127638,0.9898808294652457,0.958944460398854,0.010118501662392254,0.041054870728784,1.0,True,False,False,False
27,x_time_day/10.1002_adma.201706975/Fig4_A_stability_performance_curve/accepted/10.1002_adma.201706975__Fig4__A__stability_performance_curve__TiO2__Series_2.csv,0.0,1.0000384137996778,1.0000384137996778,0.7311700780737694,0.0,0.2688683357259084,1.0,False,False,False,False
28,x_time_day/10.1002_adma.201900605/Fig5_F_stability_performance_curve_pce/accepted/10.1002_adma.201900605__Fig5__F__stability_performance_curve_pce__CsPbl__Series_2.csv,0.0,0.9999654115117363,0.9999654115117363,0.6723874097688879,0.0,0.32757800174284846,1.0,False,False,False,False
29,x_time_day/10.1002_adma.201902902/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adma.201902902__Fig6__D__stability_performance_curve_pce__1TSnO₂__Series_1.csv,15.333333333333332,1.000000299877199,0.9989867062661932,0.9944166233792483,0.0010135936110058363,0.005583676497950774,1.0,False,False,False,False
30,x_time_day/10.1002_adma.201907864/Fig1_F_stability_performance_curve_pce/accepted/10.1002_adma.201907864__Fig1__F__stability_performance_curve_pce__1%_H₂O__Series_3.csv,0.0,1.0,1.0,0.9603406755238897,0.0,0.039659324476110314,1.0,False,False,False,False
31,x_time_day/10.1002_adma.201907864/Fig1_F_stability_performance_curve_pce/accepted/10.1002_adma.201907864__Fig1__F__stability_performance_curve_pce__Reference__Series_2.csv,0.0,1.0000169645953396,1.0000169645953396,0.9529628588205261,0.0,0.047054105774813504,1.0,False,False,False,False
32,x_time_day/10.1002_admi.201900939/Fig11_D_pce/accepted/10.1002_admi.201900939__Fig11__D__pce__Standard__Series_2.csv,0.0,1.0000149325479182,1.0000149325479182,0.8792328866975163,0.0,0.12078204585040186,1.0,False,False,False,False
33,x_time_day/10.1002_admi.202101463/Fig7_B_stability_performance_curve_pce/accepted/10.1002_admi.202101463__Fig7__B__stability_performance_curve_pce__Pristine__Series_1.csv,0.0,1.0,1.0,0.8604861141166694,0.0,0.13951388588333058,1.0,False,False,False,False
34,x_time_day/10.1002_advs.201801715/Fig5_A_sem_image_stability_performance_curve_pce/accepted/10.1002_advs.201801715__Fig5__A__sem_image_stability_performance_curve_pce__Control__Series_1.csv,0.8333333333333333,0.9999678874246183,0.9999099056638816,0.5805557598537413,5.79817607366806e-05,0.419412127570877,1.0,False,False,False,False
35,x_time_day/10.1002_advs.202101418/Fig5_A_stability_performance_curve_pce/accepted/10.1002_advs.202101418__Fig5__A__stability_performance_curve_pce__W_o_Ti₃C2C1x__Series_1.csv,0.0,0.9999716597795232,0.9999716597795232,0.8908295234584215,0.0,0.1091421363211017,1.0,False,False,False,False
36,x_time_day/10.1002_aenm.201501354/Fig9_C_stability_performance_curve/accepted/10.1002_aenm.201501354__Fig9__C__stability_performance_curve__Device_based_on_C-PbI₂__Series_1.csv,0.0,1.0,1.0,0.8813055331448416,0.0,0.11869446685515839,1.0,False,False,False,False
37,x_time_day/10.1002_aenm.201502206/Fig7_A_pce/accepted/10.1002_aenm.201502206__Fig7__A__pce__S1__Series_1.csv,5.0,0.9971775103317921,0.9883220375805626,0.9480369781619624,0.008855472751229554,0.04914053216982972,0.6153846153846154,False,False,False,False
38,x_time_day/10.1002_aenm.201502206/Fig7_A_pce/accepted/10.1002_aenm.201502206__Fig7__A__pce__S3__Series_2.csv,0.0,1.0002099363217773,1.0002099363217773,0.8983899817178794,0.0,0.10181995460389792,0.65,False,False,False,False
39,x_time_day/10.1002_aenm.201602556/Fig7_A_stability_performance_curve/accepted/10.1002_aenm.201602556__Fig7__A__stability_performance_curve__doped_Spiro-OMeTAD__Series_1.csv,0.0,0.9999382906129427,0.9999382906129427,0.9406181524187571,0.0,0.05932013819418558,0.875,False,False,False,False
40,x_time_day/10.1002_aenm.201700683/Fig5_A_stability_performance_curve_pce/accepted/10.1002_aenm.201700683__Fig5__A__stability_performance_curve_pce__Spiro-OMeTAD__Series_1.csv,0.0,1.0001188308717444,1.0001188308717444,0.895197863965473,0.0,0.1049209669062714,0.95,False,False,False,False
41,x_time_day/10.1002_aenm.201702960/Fig5_F_stability_performance_curve/accepted/10.1002_aenm.201702960__Fig5__F__stability_performance_curve__Pristine__Series_1.csv,20.833333333333332,0.9999999999999601,0.9942748531666258,0.9220242038586856,0.00572514683333436,0.07797579614127459,1.0,False,False,False,False
42,x_time_day/10.1002_aenm.201703392/Fig6_C_stability_performance_curve/accepted/10.1002_aenm.201703392__Fig6__C__stability_performance_curve__Reference__Series_1.csv,0.0,1.0000000000000002,1.0000000000000002,0.824241190228993,0.0,0.17575880977100722,1.0,False,False,False,False
43,x_time_day/10.1002_aenm.201800715/Fig6_D_stability_performance_curve_pce/accepted/10.1002_aenm.201800715__Fig6__D__stability_performance_curve_pce__W_OAQ310__Series_1.csv,4.666666666666666,0.9999999999999998,0.9997294800586132,0.8402345190725939,0.0002705199413866044,0.15976548092740583,1.0,False,False,False,False
44,x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/accepted/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__Control__Series_1.csv,5.166666666666666,1.0000002548012017,0.999804082434563,0.9576844316519275,0.00019617236663871385,0.04231582314927418,1.0,False,False,False,False
45,x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/accepted/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__SP1__Series_2.csv,9.333333333333332,0.9999877818242968,0.9983752204783097,0.9668753669899826,0.0016125613459870847,0.03311241483431426,1.0,False,False,False,False
46,x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/accepted/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__SP3__Series_3.csv,15.5,1.000000452772818,0.9982405734167349,0.9834364344328899,0.0017598793560830162,0.016564018339928044,1.0,False,False,False,False
47,x_time_day/10.1002_aenm.201903013/Fig5_E_stability_performance_curve_pce/accepted/10.1002_aenm.201903013__Fig5__E__stability_performance_curve_pce__Reference__Series_1.csv,0.0,1.0000008461872736,1.0000008461872736,0.849583932858718,0.0,0.15041691332855556,1.0,False,False,False,False
48,x_time_day/10.1002_aenm.202101416/Fig4_F_stability_performance_curve/accepted/10.1002_aenm.202101416__Fig4__F__stability_performance_curve__SnO₂__Series_1.csv,0.0,0.9999723764925091,0.9999723764925091,0.8259941178095739,0.0,0.17397825868293526,0.925,False,False,False,False
49,x_time_day/10.1002_anie.202105512/Fig4_D_stability_performance_curve_pce_photovoltaic_parameter/accepted/10.1002_anie.202105512__Fig4__D__stability_performance_curve_pce_photovoltaic_parameter__Control_Device__Series_2.csv,2.333333333333333,1.000006412958689,0.9999727646613233,0.9417090057598284,3.3648297365629354e-05,0.05829740719886056,1.0,False,False,False,False
50,x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/accepted/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM+PMMA1__Series_4.csv,0.0,1.0000000000000002,1.0000000000000002,0.8604836056315296,0.0,0.13951639436847063,1.0,False,False,False,False
51,x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/accepted/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM+PMMA2__Series_1.csv,0.0,0.9999999999999998,0.9999999999999998,0.7943057543256256,0.0,0.20569424567437422,1.0,False,False,False,False
52,x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/accepted/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM+PMMA3__Series_3.csv,0.0,1.0000173297670303,1.0000173297670303,0.8380821330188507,0.0,0.16193519674817958,0.925,False,False,False,False
53,x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/accepted/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM__Series_2.csv,0.0,1.0,1.0,0.8129119319214747,0.0,0.1870880680785253,0.95,False,False,False,False
54,x_time_day/10.1002_cnma.201800064/Fig6_B_stability_performance_curve/accepted/10.1002_cnma.201800064__Fig6__B__stability_performance_curve__(a)MAPbl₃__Series_1.csv,0.0,1.000017728313359,1.000017728313359,0.46347874856545374,0.0,0.5365389797479052,1.0,False,False,False,False
55,x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/accepted/10.1002_cssc.201600887__Fig6__whole__stability__D-0_in_ambient_atm__Series_3.csv,0.0,1.0,1.0,0.29971701990739275,0.0,0.7002829800926073,1.0,False,False,False,False
56,x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/accepted/10.1002_cssc.201600887__Fig6__whole__stability__−−D-0_in_glove_box__Series_1.csv,0.0,0.9999449432653449,0.9999449432653449,0.6412230613578356,0.0,0.3587218819075093,1.0,False,False,False,False
57,x_time_day/10.1002_cssc.201600887/Fig7_D_photovoltaic_parameter/accepted/10.1002_cssc.201600887__Fig7__D__photovoltaic_parameter__D-0__Series_2.csv,0.0,0.9999999999999998,0.9999999999999998,0.6416054974004792,0.0,0.35839450259952055,1.0,False,False,False,False
58,x_time_day/10.1002_cssc.201600887/Fig7_D_photovoltaic_parameter/accepted/10.1002_cssc.201600887__Fig7__D__photovoltaic_parameter__D-5__Series_3.csv,0.0,0.9999743827247719,0.9999743827247719,0.7672114966118272,0.0,0.2327628861129447,1.0,False,False,False,False
59,x_time_day/10.1002_cssc.201700271/Fig5_C_stability_performance_curve_pce/accepted/10.1002_cssc.201700271__Fig5__C__stability_performance_curve_pce__Device_without_PVP__Series_2.csv,0.0,0.9999382443998672,0.9999382443998672,0.7671756223253209,0.0,0.23276262207454634,1.0,False,False,False,False
60,x_time_day/10.1002_cssc.201700603/Fig5_B_stability_performance_curve_pce/accepted/10.1002_cssc.201700603__Fig5__B__stability_performance_curve_pce__0__Series_4.csv,3.833333333333333,0.9999617690285586,0.9992629030238278,0.6751801299934431,0.0006988660047307915,0.3247816390351155,1.0,False,False,False,False
61,x_time_day/10.1002_cssc.201700603/Fig5_B_stability_performance_curve_pce/accepted/10.1002_cssc.201700603__Fig5__B__stability_performance_curve_pce__5__Series_1.csv,49.666666666666664,0.9998765981820602,0.9554445099282664,0.8422362691159933,0.044432088253793856,0.15764032906606695,1.0,True,True,True,False
62,x_time_day/10.1002_cssc.201702265/Fig3_A_pce/accepted/10.1002_cssc.201702265__Fig3__A__pce__MAPbI₃_+_10%_F1_0.5_mmol__Series_1.csv,0.0,1.0,1.0,0.9784468971449319,0.0,0.021553102855068063,1.0,False,False,False,False
63,x_time_day/10.1002_cssc.201702265/Fig3_A_pce/accepted/10.1002_cssc.201702265__Fig3__A__pce__Reference__Series_2.csv,0.0,1.0000179139856076,1.0000179139856076,0.9187288187937501,0.0,0.08128909519185745,1.0,False,False,False,False
64,x_time_day/10.1002_cssc.201702265/Fig3_B_pce/accepted/10.1002_cssc.201702265__Fig3__B__pce__MAPbl+10%F20.5mmol3__Series_1.csv,0.0,0.9999999999999998,0.9999999999999998,0.8161801132868444,0.0,0.1838198867131554,1.0,False,False,False,False
65,x_time_day/10.1002_cssc.201702265/Fig3_B_pce/accepted/10.1002_cssc.201702265__Fig3__B__pce__MAPbl+10%F3_0.5mmol3__Series_3.csv,0.0,1.0,1.0,0.955397874400938,0.0,0.04460212559906196,1.0,False,False,False,False
66,x_time_day/10.1002_cssc.201702265/Fig3_B_pce/accepted/10.1002_cssc.201702265__Fig3__B__pce__Reference__Series_2.csv,0.0,1.0,1.0,0.6180446139738713,0.0,0.38195538602612866,1.0,False,False,False,False
67,x_time_day/10.1002_cssc.201702265/Fig3_C_pce/accepted/10.1002_cssc.201702265__Fig3__C__pce__MAPbI₃_+_10%_C₆₀__Series_3.csv,0.0,0.9999671933607123,0.9999671933607123,0.9267758022830064,0.0,0.07319139107770589,1.0,False,False,False,False
68,x_time_day/10.1002_cssc.201702265/Fig3_C_pce/accepted/10.1002_cssc.201702265__Fig3__C__pce__MAPbI₃_+_5%_C₆₀__Series_1.csv,0.0,0.9999792318003573,0.9999792318003573,0.9109441297108007,0.0,0.08903510208955656,1.0,False,False,False,False
69,x_time_day/10.1002_cssc.201702265/Fig3_C_pce/accepted/10.1002_cssc.201702265__Fig3__C__pce__Reference__Series_2.csv,0.0,1.000000578443459,1.000000578443459,0.9288247495091705,0.0,0.07117582893428842,1.0,False,False,False,False
70,x_time_day/10.1002_cssc.201902165/Fig6_B_stability_performance_curve_pce_mapping/accepted/10.1002_cssc.201902165__Fig6__B__stability_performance_curve_pce_mapping__TiO2_NPs__Series_2.csv,0.0,0.9999999352288107,0.9999999352288107,0.7111973069456107,0.0,0.2888026282832,1.0,False,False,False,False
71,x_time_day/10.1002_cssc.201903025/Fig7_A_stability_performance_curve_pce/accepted/10.1002_cssc.201903025__Fig7__A__stability_performance_curve_pce__NiO_NCs__Series_1.csv,0.0,0.9999997826668667,0.9999997826668667,0.9149497565357894,0.0,0.08505002613107737,1.0,False,False,False,False
72,x_time_day/10.1002_cssc.201903025/Fig7_A_stability_performance_curve_pce/accepted/10.1002_cssc.201903025__Fig7__A__stability_performance_curve_pce__NiO_NWs_DEA__Series_3.csv,0.0,0.9999999639302748,0.9999999639302748,0.989477169967427,0.0,0.010522793962847832,1.0,False,False,False,False
73,x_time_day/10.1002_cssc.201903025/Fig7_A_stability_performance_curve_pce/accepted/10.1002_cssc.201903025__Fig7__A__stability_performance_curve_pce__NiO_NWs__Series_2.csv,0.0,1.0000181191413038,1.0000181191413038,0.9651504733038743,0.0,0.03486764583742952,1.0,False,False,False,False
74,x_time_day/10.1002_ente.201800378/Fig9_C_jv_curve_stability_performance_pce_jsc/accepted/10.1002_ente.201800378__Fig9__C__jv_curve_stability_performance_pce_jsc__W_O_PVB__Series_1.csv,0.0,0.9996049101053858,0.9996049101053858,0.2641321727838527,0.0,0.7354727373215331,1.0,False,False,False,False
75,x_time_day/10.1002_ente.201800378/Fig9_C_jv_curve_stability_performance_pce_jsc/accepted/10.1002_ente.201800378__Fig9__C__jv_curve_stability_performance_pce_jsc__With_PVB__Series_2.csv,9.5,0.999139991088727,0.9583483888275447,0.6124811224420172,0.04079160226118228,0.38665886864670973,1.0,True,True,True,False
76,x_time_day/10.1002_ente.201900990/Fig6_whole_stability/accepted/10.1002_ente.201900990__Fig6__whole__stability__Standard__Series_1.csv,2.833333333333333,0.9999156367777735,0.9996283925782908,0.7539267391888889,0.00028724419948267244,0.24598889758888465,1.0,False,False,False,False
77,x_time_day/10.1002_ente.202200761/Fig5_F_stability_performance_curve/accepted/10.1002_ente.202200761__Fig5__F__stability_performance_curve__Pristine__Series_1.csv,0.0,0.9999962990448326,0.9999962990448326,0.9400127498110468,0.0,0.05998354923378579,1.0,False,False,False,False
78,x_time_day/10.1002_ente.202200761/Fig5_F_stability_performance_curve/accepted/10.1002_ente.202200761__Fig5__F__stability_performance_curve__→—Brij_30__Series_2.csv,0.0,1.0000057490122862,1.0000057490122862,0.9735624402735904,0.0,0.026443308738695825,1.0,False,False,False,False
79,x_time_day/10.1002_pc.25527/Fig9_D_stability_performance_curve/accepted/10.1002_pc.25527__Fig9__D__stability_performance_curve__based_on_Ag_CuO_Nfs_PEDOT_PSS__Series_2.csv,0.0,1.000029155703473,1.000029155703473,0.8902566287088716,0.0,0.1097725269946015,1.0,False,False,False,False
80,x_time_day/10.1002_pc.25527/Fig9_D_stability_performance_curve/accepted/10.1002_pc.25527__Fig9__D__stability_performance_curve__based_on_PEDOT_PSS__Series_1.csv,0.0,0.9999999999999998,0.9999999999999998,0.7672759711577626,0.0,0.2327240288422372,1.0,False,False,False,False
81,x_time_day/10.1002_smll.201904387/Fig5_A_stability_performance_curve_pce/accepted/10.1002_smll.201904387__Fig5__A__stability_performance_curve_pce__0-Control__Series_1.csv,5.5,1.0000004249390324,0.9996961835500661,0.9353338977469142,0.000304241388966342,0.06466652719211818,1.0,False,False,False,False
82,x_time_day/10.1002_smll.202004778/Fig4_A_stability_performance_curve_pce/accepted/10.1002_smll.202004778__Fig4__A__stability_performance_curve_pce__TiO2CL__Series_1.csv,0.0,1.0000000000000002,1.0000000000000002,0.9237408726735099,0.0,0.07625912732649032,1.0,False,False,False,False
83,x_time_day/10.1002_smll.202004778/Fig4_A_stability_performance_curve_pce/accepted/10.1002_smll.202004778__Fig4__A__stability_performance_curve_pce__TiO2_CL+Ti_100-NaPA@TiO2__Series_2.csv,0.0,0.9999999999999998,0.9999999999999998,0.9614741638463244,0.0,0.03852583615367533,1.0,False,False,False,False
84,x_time_day/10.1002_smtd.201900449/Fig5_C_stability_performance_curve_pce/accepted/10.1002_smtd.201900449__Fig5__C__stability_performance_curve_pce__Ag__Series_1.csv,5.666666666666666,0.9997545274095805,0.998356510887237,0.9563845727361043,0.0013980165223435037,0.04336995467347615,1.0,False,False,False,False
85,x_time_day/10.1002_smtd.201900476/Fig5_C_stability_performance_curve_pce/accepted/10.1002_smtd.201900476__Fig5__C__stability_performance_curve_pce__SnO₂__Series_2.csv,94.66666666666666,0.9999999999999603,0.941508061197467,0.9700209915750679,0.05849193880249326,0.029979008424892317,1.0,True,False,False,False
86,x_time_day/10.1002_smtd.202001090/Fig5_E_stability_performance_curve_pce/accepted/10.1002_smtd.202001090__Fig5__E__stability_performance_curve_pce__MAPbI₃__Series_2.csv,0.0,0.9999999999999998,0.9999999999999998,0.6506304427885997,0.0,0.34936955721140006,1.0,False,False,False,False
87,x_time_day/10.1002_solr.201700096/Fig7_whole_stability/accepted/10.1002_solr.201700096__Fig7__whole__stability__BTPA-4__Series_3.csv,29.166666666666664,1.000235511825435,0.9121759038289965,0.8504852215197043,0.08805960799643842,0.14975029030573062,0.9705882352941176,True,True,True,True
88,x_time_day/10.1002_solr.201700096/Fig7_whole_stability/accepted/10.1002_solr.201700096__Fig7__whole__stability__BTPA-5__Series_2.csv,70.0,0.9993204767354702,0.9643531260394119,0.9012831608097093,0.034967350696058275,0.09803731592576093,0.8846153846153846,True,True,True,False
89,x_time_day/10.1002_solr.201700096/Fig7_whole_stability/accepted/10.1002_solr.201700096__Fig7__whole__stability__BTPA-6__Series_1.csv,23.333333333333332,0.9995143297487324,0.9445040224811895,0.7400220183116962,0.05501030726754297,0.2594923114370362,0.9142857142857143,True,True,True,True
90,x_time_day/10.1002_solr.201700096/Fig7_whole_stability/accepted/10.1002_solr.201700096__Fig7__whole__stability__spiro-OMeTAD__Series_4.csv,23.333333333333332,0.9986107781321485,0.929902268182279,0.7432987853689033,0.06870850994986955,0.25531199276324523,1.0,True,True,True,True
91,x_time_day/10.1002_solr.201700125/Fig6_A_stability_performance_curve_pce/accepted/10.1002_solr.201700125__Fig6__A__stability_performance_curve_pce__3D_PSCs__Series_1.csv,0.0,0.9999400831949439,0.9999400831949439,0.86250476938652,0.0,0.1374353138084239,1.0,False,False,False,False
92,x_time_day/10.1002_solr.201700125/Fig6_A_stability_performance_curve_pce/accepted/10.1002_solr.201700125__Fig6__A__stability_performance_curve_pce__MDMC_PSCs_n=30__Series_2.csv,0.0,0.9999847581600804,0.9999847581600804,0.9700947682988083,0.0,0.029889989861272115,1.0,False,False,False,False
93,x_time_day/10.1002_solr.201800034/Fig10_B_stability_performance_curve_pce/accepted/10.1002_solr.201800034__Fig10__B__stability_performance_curve_pce__TU-0__Series_2.csv,0.0,0.9999752227882205,0.9999752227882205,0.36628013099361534,0.0,0.6336950917946051,1.0,False,False,False,False
94,x_time_day/10.1002_solr.201800066/Fig5_A_pce/accepted/10.1002_solr.201800066__Fig5__A__pce__W_O_PbAc2__Series_1.csv,0.0,0.9999834254984323,0.9999834254984323,0.9411086573581671,0.0,0.058874768140265266,1.0,False,False,False,False
