curve_id,top_dir,doi,figure_label,series_id,status,reason,n_original_points,pce_max_0_200h,max_x_hours,n_unique_t,t_coverage_pct,unit_label
x_time_h/10.1021_acsenergylett.9b02716/Fig5_B_stability_performance_curve/10.1021_acsenergylett.9b02716__Fig5__B__stability_performance_curve__BT__Series_3.csv,x_time_h,10.1021/acsenergylett.9b02716,Fig5_B,Series_3,excluded,"Too few unique time points (9) in [0,200]h window (data spans 92% of window)",40,,184.60602937514273,9,92.30301468757136,hours
x_time_h/10.1021_acsenergylett.9b02716/Fig5_B_stability_performance_curve/10.1021_acsenergylett.9b02716__Fig5__B__stability_performance_curve__Ref__Series_1.csv,x_time_h,10.1021/acsenergylett.9b02716,Fig5_B,Series_1,excluded,"Too few unique time points (9) in [0,200]h window (data spans 92% of window)",24,,184.60602937514278,9,92.30301468757139,hours
x_time_h/10.1021_acsnano.6b01904/Fig8_B_stability_performance_curve_pce_image/10.1021_acsnano.6b01904__Fig8__B__stability_performance_curve_pce_image__PEDOT_PSS__Series_1.csv,x_time_h,10.1021/acsnano.6b01904,Fig8_B,Series_1,excluded,Curve max time 198.5h < 200.0h (curve too short),78,,199.2087615334388,78,99.6043807667194,hours
x_time_h/10.1021_acssuschemeng.0c01794/Fig7_F_stability_performance_curve_pce_2/10.1021_acssuschemeng.0c01794__Fig7__F__stability_performance_curve_pce_2__sample-A__Series_1.csv,x_time_h,10.1021/acssuschemeng.0c01794,Fig7_F,Series_1,excluded,"Too few unique time points (9) in [0,200]h window (data spans 94% of window)",35,,187.21119817037018,9,93.60559908518509,hours
x_time_h/10.1021_acssuschemeng.7b01556/Fig8_A_stability_performance_curve_pce/10.1021_acssuschemeng.7b01556__Fig8__A__stability_performance_curve_pce__W_O_GPM__Series_1.csv,x_time_h,10.1021/acssuschemeng.7b01556,Fig8_A,Series_1,excluded,"Too few unique time points (9) in [0,200]h window (data spans 93% of window)",31,,186.32254028226583,9,93.16127014113292,hours
x_time_h/10.1021_jacs.0c12802/Fig5_D_stability_performance_curve_pce/10.1021_jacs.0c12802__Fig5__D__stability_performance_curve_pce__Control__Series_1.csv,x_time_h,10.1021/jacs.0c12802,Fig5_D,Series_1,excluded,"Too few unique time points (8) in [0,200]h window (data spans 97% of window)",37,,194.35464187029982,8,97.17732093514991,hours
x_time_h/10.1021_jacs.0c13069/Fig4_A_stability_performance_curve_pce/10.1021_jacs.0c13069__Fig4__A__stability_performance_curve_pce__CsSnl₃__Series_2.csv,x_time_h,10.1021/jacs.0c13069,Fig4_A,Series_2,excluded,"Too few unique time points (6) in [0,200]h window (data spans 86% of window)",43,,171.1541100515371,6,85.57705502576854,hours
x_time_h/10.1021_jacs.0c13069/Fig4_C_stability_performance_curve_pce/10.1021_jacs.0c13069__Fig4__C__stability_performance_curve_pce__CsSnI₃-MBAA__Series_1.csv,x_time_h,10.1021/jacs.0c13069,Fig4_C,Series_1,excluded,Curve max time 119.3h < 200.0h (curve too short),43,,120.17148618355945,43,60.08574309177973,hours
x_time_h/10.1021_jacs.0c13069/Fig4_C_stability_performance_curve_pce/10.1021_jacs.0c13069__Fig4__C__stability_performance_curve_pce__CsSnI₃__Series_2.csv,x_time_h,10.1021/jacs.0c13069,Fig4_C,Series_2,excluded,Curve max time 38.6h < 200.0h (curve too short),15,,40.05716206118648,15,20.02858103059324,hours
x_time_h/10.1021_jacs.1c02118/Fig5_D_stability_performance_curve/10.1021_jacs.1c02118__Fig5__D__stability_performance_curve__Ag-b1__Series_3.csv,x_time_h,10.1021/jacs.1c02118,Fig5_D,Series_3,excluded,"Too few unique time points (3) in [0,200]h window (data spans 86% of window)",43,,172.21439803453632,3,86.10719901726816,hours
x_time_h/10.1021_jacs.1c02118/Fig5_D_stability_performance_curve/10.1021_jacs.1c02118__Fig5__D__stability_performance_curve__Ag__Series_4.csv,x_time_h,10.1021/jacs.1c02118,Fig5_D,Series_4,excluded,"Too few unique time points (3) in [0,200]h window (data spans 86% of window)",47,,172.21439803453632,3,86.10719901726816,hours
x_time_h/10.1021_jacs.6b10227/Fig3_C_jv_curve_stability_performance_photovoltaic_parameter/10.1021_jacs.6b10227__Fig3__C__jv_curve_stability_performance_photovoltaic_parameter__MAPbI₃_carbon__Series_2.csv,x_time_h,10.1021/jacs.6b10227,Fig3_C,Series_2,excluded,"Too few unique time points (3) in [0,200]h window (data spans 75% of window)",10,,149.21899461679538,3,74.60949730839769,hours
x_time_h/10.1021_jacs.6b10227/Fig3_C_jv_curve_stability_performance_photovoltaic_parameter/10.1021_jacs.6b10227__Fig3__C__jv_curve_stability_performance_photovoltaic_parameter__MAPbI₃_spiro-MeOTAD__Series_3.csv,x_time_h,10.1021/jacs.6b10227,Fig3_C,Series_3,excluded,"Too few unique time points (3) in [0,200]h window (data spans 75% of window)",12,,149.21899461679538,3,74.60949730839769,hours
x_time_h/10.1021_jacs.6b10227/Fig3_D_stability_performance_curve_pce_photovoltaic_parameter/10.1021_jacs.6b10227__Fig3__D__stability_performance_curve_pce_photovoltaic_parameter__MAPbI₃_carbon__Series_1.csv,x_time_h,10.1021/jacs.6b10227,Fig3_D,Series_1,excluded,"Too few unique time points (4) in [0,200]h window (data spans 36% of window)",4,,72.09058388154872,4,36.04529194077436,hours
x_time_h/10.1021_jacs.7b07949/Fig4_B_stability_performance_curve_ff_pce/10.1021_jacs.7b07949__Fig4__B__stability_performance_curve_ff_pce__MAPbI3__Series_2.csv,x_time_h,10.1021/jacs.7b07949,Fig4_B,Series_2,excluded,Curve max time 138.7h < 200.0h (curve too short),22,,137.2772829010583,22,68.63864145052915,hours
x_time_h/10.1021_jacs.7b13229/Fig3_D_stability_performance_curve_pce_jsc/10.1021_jacs.7b13229__Fig3__D__stability_performance_curve_pce_jsc__Organic-inorganic_PSCs__Series_2.csv,x_time_h,10.1021/jacs.7b13229,Fig3_D,Series_2,excluded,Curve max time 194.0h < 200.0h (curve too short),16,,196.16047954598392,16,98.08023977299196,hours
x_time_h/10.1021_jacs.9b13418/Fig3_F_stability_performance_curve_pce/10.1021_jacs.9b13418__Fig3__F__stability_performance_curve_pce__Control__Series_1.csv,x_time_h,10.1021/jacs.9b13418,Fig3_F,Series_1,excluded,"Too few unique time points (9) in [0,200]h window (data spans 95% of window)",43,,190.02012992989867,9,95.01006496494934,hours
x_time_h/10.1038_ncomms10228/Fig5_A_stability_performance_curve_pce/10.1038_ncomms10228__Fig5__A__stability_performance_curve_pce__0_mg_ml⁻¹__Series_3.csv,x_time_h,10.1038/ncomms10228,Fig5_A,Series_3,excluded,"Too few unique time points (8) in [0,200]h window (data spans 26% of window)",8,,52.4368967150335,8,26.21844835751675,hours
x_time_h/10.1038_s41467-018-05454-4/Fig5_A_mppt_stability_performance_curve_pce/10.1038_s41467-018-05454-4__Fig5__A__mppt_stability_performance_curve_pce__Control__Series_1.csv,x_time_h,10.1038/s41467-018-05454-4,Fig5_A,Series_1,excluded,"Too few unique time points (8) in [0,200]h window (data spans 88% of window)",56,,175.9075743956982,8,87.9537871978491,hours
x_time_h/10.1038_s41467-018-05760-x/Fig6_A_jv_curve_stability_performance_pce/10.1038_s41467-018-05760-x__Fig6__A__jv_curve_stability_performance_pce__E-SnO2__Series_2.csv,x_time_h,10.1038/s41467-018-05760-x,Fig6_A,Series_2,excluded,"Too few unique time points (5) in [0,200]h window (data spans 84% of window)",68,,167.8793656186723,5,83.93968280933615,hours
